num_cross_val,test_fraction,running avg sample length,input data window length,diffs added,lp,ds,cl,avg r2,r2 std,avg MSE,MSE std
100,0.5,40,1,False,"('Linear', None)","('StandardScaler', StandardScaler())","('Linear or Poly Fit', LinearRegression())",0.6884475051252739,0.003721992382066811,33.39835294638006,0.3777059925356652
100,0.5,40,1,False,"('Linear', None)","('StandardScaler', StandardScaler())","('FFNN (relu) (N,N,)', MLPRegressor(hidden_layer_sizes=(1, 1), max_iter=800))",0.4261718228885729,0.34822690701983866,61.5254168009955,37.35586661219715
100,0.5,40,1,False,"('Linear', None)","('RangeScaler', StandardScaler(with_mean=False))","('Linear or Poly Fit', LinearRegression())",0.6884475051252739,0.0037219923820667887,33.39835294638006,0.3777059925356657
100,0.5,40,1,False,"('Linear', None)","('RangeScaler', StandardScaler(with_mean=False))","('FFNN (relu) (N,N,)', MLPRegressor(hidden_layer_sizes=(1, 1), max_iter=800))",0.32669512551769153,0.35419756808932124,72.20924461698331,38.032279427688444
100,0.5,40,1,False,"('Linear', None)","('ScaleControl', None)","('Linear or Poly Fit', LinearRegression())",0.6884475051252739,0.003721992382066826,33.398352946380065,0.3777059925356658
100,0.5,40,1,False,"('Linear', None)","('ScaleControl', None)","('FFNN (relu) (N,N,)', MLPRegressor(hidden_layer_sizes=(1, 1), max_iter=800))",0.4189528837149685,0.3492548578654568,62.2352727863505,37.332402524310226
100,0.5,40,1,False,"('Poly', PolynomialFeatures(include_bias=False))","('StandardScaler', StandardScaler())","('Linear or Poly Fit', LinearRegression())",0.7454493353680565,0.0021408134949774857,27.28837070413747,0.27379560477529846
100,0.5,40,1,False,"('Poly', PolynomialFeatures(include_bias=False))","('StandardScaler', StandardScaler())","('FFNN (relu) (N,N,)', MLPRegressor(hidden_layer_sizes=(1, 1), max_iter=800))",0.4964136233639286,0.3644611282047802,54.00812941858996,39.12289868661601
100,0.5,40,1,False,"('Poly', PolynomialFeatures(include_bias=False))","('RangeScaler', StandardScaler(with_mean=False))","('Linear or Poly Fit', LinearRegression())",0.7454493353680565,0.0021408134949774554,27.288370704137474,0.27379560477529696
100,0.5,40,1,False,"('Poly', PolynomialFeatures(include_bias=False))","('RangeScaler', StandardScaler(with_mean=False))","('FFNN (relu) (N,N,)', MLPRegressor(hidden_layer_sizes=(1, 1), max_iter=800))",0.472799527330479,0.37027806614623054,56.52025282495096,39.70685436470801
100,0.5,40,1,False,"('Poly', PolynomialFeatures(include_bias=False))","('ScaleControl', None)","('Linear or Poly Fit', LinearRegression())",0.7454493353680565,0.00214081349497744,27.288370704137474,0.2737956047752999
100,0.5,40,1,False,"('Poly', PolynomialFeatures(include_bias=False))","('ScaleControl', None)","('FFNN (relu) (N,N,)', MLPRegressor(hidden_layer_sizes=(1, 1), max_iter=800))",0.2820644000724318,0.3387765507560255,76.9193286160713,36.23969079736854
