num_cross_val,test_fraction,running avg sample length,input data window length,diffs added,lp,ds,cl,avg r2,r2 std,avg MSE,MSE std
100,0.5,40,2,False,"('Linear', None)","('StandardScaler', StandardScaler())","('Linear or Poly Fit', LinearRegression())",0.6888722071058446,0.004206194897880038,33.3711938145905,0.42223811985421794
100,0.5,40,2,False,"('Linear', None)","('StandardScaler', StandardScaler())","('FFNN (relu) (N,N,)', MLPRegressor(hidden_layer_sizes=(2, 2), max_iter=800))",0.6465162213162046,0.23978908400244683,37.90254119750378,25.673807706638126
100,0.5,40,2,False,"('Linear', None)","('RangeScaler', StandardScaler(with_mean=False))","('Linear or Poly Fit', LinearRegression())",0.6888722071058444,0.004206194897880054,33.3711938145905,0.42223811985421966
100,0.5,40,2,False,"('Linear', None)","('RangeScaler', StandardScaler(with_mean=False))","('FFNN (relu) (N,N,)', MLPRegressor(hidden_layer_sizes=(2, 2), max_iter=800))",0.6259840089017247,0.2534132109318535,40.139172246442776,27.265117298357666
100,0.5,40,2,False,"('Linear', None)","('ScaleControl', None)","('Linear or Poly Fit', LinearRegression())",0.6888722071058446,0.00420619489788007,33.3711938145905,0.4222381198542188
100,0.5,40,2,False,"('Linear', None)","('ScaleControl', None)","('FFNN (relu) (N,N,)', MLPRegressor(hidden_layer_sizes=(2, 2), max_iter=800))",0.7119578265872524,0.10414232406439652,30.887018962486685,11.09482725861203
100,0.5,40,2,False,"('Poly', PolynomialFeatures(include_bias=False))","('StandardScaler', StandardScaler())","('Linear or Poly Fit', LinearRegression())",0.7581880709452884,0.004750847595295522,25.936355795684037,0.48900743965151133
100,0.5,40,2,False,"('Poly', PolynomialFeatures(include_bias=False))","('StandardScaler', StandardScaler())","('FFNN (relu) (N,N,)', MLPRegressor(hidden_layer_sizes=(2, 2), max_iter=800))",0.7575897243588662,0.17427387123370303,25.98665919526247,18.609775813198198
100,0.5,40,2,False,"('Poly', PolynomialFeatures(include_bias=False))","('RangeScaler', StandardScaler(with_mean=False))","('Linear or Poly Fit', LinearRegression())",0.7581880709452835,0.004750847595293817,25.93635579568454,0.4890074396515481
100,0.5,40,2,False,"('Poly', PolynomialFeatures(include_bias=False))","('RangeScaler', StandardScaler(with_mean=False))","('FFNN (relu) (N,N,)', MLPRegressor(hidden_layer_sizes=(2, 2), max_iter=800))",0.6686679368384063,0.28122796145068596,35.58786022399666,30.323119343267454
100,0.5,40,2,False,"('Poly', PolynomialFeatures(include_bias=False))","('ScaleControl', None)","('Linear or Poly Fit', LinearRegression())",0.7581880709452886,0.00475084759529606,25.936355795684005,0.489007439651361
100,0.5,40,2,False,"('Poly', PolynomialFeatures(include_bias=False))","('ScaleControl', None)","('FFNN (relu) (N,N,)', MLPRegressor(hidden_layer_sizes=(2, 2), max_iter=800))",0.48302895256471845,0.3333573974136926,55.44971496761917,35.742899318391736
